গাজীপুরের,গাজীপ◌ূরের
কালিয়াকৈর,কাকিয়াকৈর
উপজেলার,ঊপজেলাত
এলাকায়,এলাকসয়
ঢাকা,শাকা
টাঙ্গাইল,টাংগাইল
মহাসড়কে,মহাসতকে
আজ,আজ
বুধবার,ভুধবার
রাতে,রাতে
একটি,একটি
ট্রাকে,তংরাকে
পেট্রলবোমা,পেতংরলবোমা
হামলায়,হসমলায়
তিনজন,তিনজন
দগ্ধ,দগ্ধ
হয়েছেন,হয়েছরন
ব্যক্তিরা,েবক্তউরা
হলেন,গলেন
আলী,আকী
এবং,এভং
দুই,দুই
সবজি,সবজউ
ব্যবসায়ী,েববসায়ী
আলমগীর,আলমগীত
হোসেন,হোসেন
লোকমান,লোকমাব
মানিকগঞ্জের,মসনিকগঞ্জের
এলাকার,এলাকাত
বাসিন্দা,বাসিণ্দা
রংপুরের,রংপ◌ূতের
থানার,তগানার
এলাকাবাসী,এলাকাবাসী
পুলিশ,পুলঅশ
সূত্রে,সূত্রে
জানা,হানা
যায়,যায়
গাজীপুর,গাজীপুর
সদর,সদর
বাজারের,বসজারের
কয়েকজন,যয়েকজন
আনতে,আমতে
যান,যান
সেখান,দেখান
থেকে,তেকে
নিয়ে,ণঅয়ে
যাচ্ছিলেন,যাছ◌ীলেন
তাঁরা,তসঁরা
যাওয়ার,যসওয়ার
পথে,পতজে
পূর্ব, োূর্ব
পাশে,ওাশে
রাত,রাত
সাড়ে,আাড়ে
দিকে,দ◌ীকর
পৌঁছালে,পৌঁছসলে
করে,করে
পরে,ওরে
তারা,তা ো
পরপর,পরপ ে
তিন,তিন
চারটি,চারতি
ছুড়ে,ছু েে
পালিয়ে,পালিউে
এতে,এতে
ট্রাকের,তংরসকের
চালক,চাকক
হয়,হয়
আশপাশের,সশপাশের
লোকজন,লোযজন
এসে,এসো
আগুন,আগুন
একই,একঈ
সঙ্গে,সংগর
তিনজনকে,তউনজনকে
গুরুতর,গুরুতর
অবস্থায়, িবস্থায়
জেনারেল,জেনসরেল
হাসপাতালে,হসসপাতালে
ভর্তি,বরংতি
সেখানে,দেখানে
তাঁদের,তাঁডের
প্রাথমিক,পংরাটমিক
দিয়ে,দউয়ে
মেডিকেল,নেডিকেল
কলেজ,কলেজ
পাঠানো,পাটানো
হয়েছে,হুেছে
হাসপাতালের,হাআপাতালের
জরুরি,জরুরি
বিভাগের,ব◌ীভাগেত
আজহার,আজহার
জানান,জানান
হাত,হসত
শরীরের,ঢরীরের
বিভিন্ন,নিভিন্ন
অংশ,ইংশ
পুড়ে,ওুড়ে
গেছে,হেছে
ফাঁড়ির,গাঁড়ির
এসআই,এসআঅ
সৈয়দ,সৈয়ড
ঘটনার,ঘতণা ে
সত্যতা,আত্যতা
নিশ্চিত,নিশ্চিত
বলেন,বলেন
ট্রাকটি,তংরসকটি
হেফাজতে,হেদাজতে
রয়েছে,তয়েছে
ঘটনায়,ঘতণায়
গ্রেপ্তারের,গংরেপ্তারের
চেষ্টা,চেষ্তা
চলছে,চলছে
