গাজীপুরের,গাকীপুরের
কালিয়াকৈর,কসলিয়াকৈর
উপজেলার,ইপজেলার
এলাকায়,এলাকায়
ঢাকা,ঢালা
টাঙ্গাইল,তাংগাইল
মহাসড়কে,মহসসড়কে
আজ,সজ
বুধবার,বুধবার
রাতে,তাতে
একটি,এযটি
ট্রাকে,তংরাকে
পেট্রলবোমা,পরট্রলবোমা
হামলায়,হামলাু
তিনজন,রিনজন
দগ্ধ,সগ্ধ
হয়েছেন,হয়েছেন
ব্যক্তিরা,বাক্ত◌ীরা
হলেন,হলেণ
আলী,আলী
এবং,ওবং
দুই,দুই
সবজি,সভজি
ব্যবসায়ী,েবভসায়ী
আলমগীর,আলনগীর
হোসেন,হোসেন
লোকমান,লোলমান
মানিকগঞ্জের,মামিকগঞ্জের
এলাকার,রলাকার
বাসিন্দা,নাসিন্দা
রংপুরের,রঙ োুরের
থানার,থানার
এলাকাবাসী,এলসকাবাসী
পুলিশ,প◌ূলউশ
সূত্রে,সূতংরে
জানা,জাণস
যায়,হায়
গাজীপুর,হাজীপুর
সদর,সদর
বাজারের,বাকারের
কয়েকজন,কতেকজন
আনতে,সনতে
যান,যান
সেখান,সেখান
থেকে,থেকে
নিয়ে,নিয়ে
যাচ্ছিলেন,যাছছ◌ীলেন
তাঁরা,তাঁ ো
যাওয়ার,যাওয়সর
পথে,পথে
পূর্ব,ওূর্ব
পাশে,পাশে
রাত,রাত
সাড়ে, াাড়ে
দিকে,দিকে
পৌঁছালে,পৌঁছালে
করে,লরে
পরে,পরে
তারা,রারা
পরপর,পরপর
তিন,তিণ
চারটি,চগারটি
ছুড়ে,ছুড়র
পালিয়ে,পাল◌ীউে
এতে,রতে
ট্রাকের,তংরাকরর
চালক,ছালক
হয়,যয়
আশপাশের,আআহপাশের
লোকজন,লোকজন
এসে,রসে
আগুন,আফুন
একই,ওকই
সঙ্গে,দঙ্গে
তিনজনকে,রিনজনকে
গুরুতর,গ◌ূএুতর
অবস্থায়,অবস্টায়
জেনারেল,হেনারেল
হাসপাতালে,হাসপারালে
ভর্তি,‍বর্তি
সেখানে, ােখানে
তাঁদের,তসঁদের
প্রাথমিক,পংরাথমিক
দিয়ে,সিয়ে
মেডিকেল,মেদউকেল
কলেজ,কলেজ
পাঠানো,ওাঠানো
হয়েছে,হয়েচগে
হাসপাতালের,হসসপাতালের
জরুরি,হরুরি
বিভাগের,ব◌ী‍বাগের
আজহার,আজহসর
জানান,জামান
হাত,হাত
শরীরের,ষরীরের
বিভিন্ন,নিভিন্ন
অংশ,অংষ
পুড়ে,পুড়ে
গেছে,গেছে
ফাঁড়ির,গাঁড়ির
এসআই,এ াআই
সৈয়দ,সয়দ
ঘটনার,ঘটনার
সত্যতা,দত্যতা
নিশ্চিত,বিশ্চিত
বলেন,বলেণ
ট্রাকটি,তংরাকটি
হেফাজতে,হেদাজতে
রয়েছে,রয়েছে
ঘটনায়,ঘটণসয়
গ্রেপ্তারের,গংরেপ্তারে ে
চেষ্টা,চেষ্তা
চলছে,চগলছে
নতুন,ণত◌ূণ
বছরের,ভছরের
প্রথম,পংরতজম
দিনে,দিণে
কোনো,কপনো
ঘটেনি,ঘটেণি
ইংলিশ,ঈংলিশ
প্রিমিয়ার,পংরউমিয়ার
লিগে,ল◌ীগে
ম্যানচেস্টার,েমসনচেস্টার
সিটি,সিতি
চেলসি,চেলসউ
লিভারপুল,লঅভারপুল
জয়,জয়
পেয়েছে,পেয়েভে
যার,যার
ম্যাচে,মাাচে
বিপক্ষে,বঅপক্ষে
পেতে,পেতে
রীতিমতো, েীতিমতো
ঘাম,ঘাম
ছুটে,ছুরে
মিনিটে,মিণউটে
উদ্ধার,উদ্ডার
করেন,করোন
অতিরিক্ত,ওরিরিক্ত
সময়ে,সনয়ে
গোল,গোল
পয়েন্ট,ওয়েন্ট
টেবিলে,তেবউলে
শীর্ষ,শীরংষ
অবস্থান,অবস্টান
চূড়ান্ত,চূএান্ত
ফল,ফক
সিটির,সঅটির
জিততে,হিততে
বেশ,নেশ
ম্যান,মাান
গোলের,গোলের
গোলে,গোলে
ফেরে,ফেএে
এগিয়ে,এগঅয়ে
ব্যবধানে,েববধানে
কিন্তু,কঅন্তু
এদিন,এদিণ
করা,লরা
যেন,যেব
পরিণত,পরিণত
আবারো,আবা েো
বসেন,বসেব
তবে,রবে
সেটি,সেটি
কেবল,কেবল
পরাজয়,পতাজয়
এড়াতে,এরাতে
পারে, োারে
অবশ্য,ইবশ্য
হেসে,যেসে
উড়িয়ে,উড়িয়ে
দিয়েছে,ফিয়েছে
জিতেছে,জ◌ীরেছে
ওদিকে,ওদ◌ীকে
লুইস,লুইস
গতিতে,গতিতে
কার,কসর
আজও,আজও
অল,ওল
খাতা,খারা
স্ট্রাইকার,স্ত্রাইকার
চলতি,চলতি
মৌসুমে,মৌসুনে
দ্বিতীয়ার্ধে,দ◌ীতীয়ার্ধে
হাল,হসল
সহজ,দহজ
ম্যাচ,মাাচ
শেষে,সজেষে
শীর্ষে,শীরংষো
তাদের,তাদের
মাগুরা,মাফুরা
শহরের,সজহরের
কেন্দ্রীয়,কেণ্দ্রীয়
বাস,বাস
টার্মিনাল,রার্মিনাল
এলাকা,এলাকা
ছাত্রলীগের,চজাত্রলীগের
নেতা,নরতা
কর্মীকে,করীকর
আটক,আটক
করেছে,যরেছে
বাসে,বাসে
করছিলেন,করভহিলেন
বলে,বলে
পৌনে,পৌণে
আটটার,সটটার
জেলা,জেলা
সম্পাদক,সপাডক
সাজ্জাদ,সাজ্জাদ
মোল্লা,মোল্লা
রানা,রানস
কাছে,কাছো
দুটি,দ◌ূটঅ
বোতল,বোতল
পাওয়া,পসওয়া
খুলনা,খুলনা
চলাচলকারী,চলাচলকসরী
গাড়িতে,গা েিতে
পেট্রল,ওেট্রল
ধরিয়ে,ধরিয়ে
দেওয়ার,ফেওয়ার
ওই,ওঈ
যুবক,জ◌ূবক
সময়,সময়
জানতে,জসনতে
চাইলে,চাইলে
সুপার,দুপার
কবীর,কবীর
আলোকে,আলোকে
পানির, োানির
ভরা,‍বরা
এটিকে,এরিকে
বোমা,নোমা
বলা,বলা
ঠিক,ঠ◌ীক
হবে,হবে
তৈরি,রৈরি
এর,এর
থাকে,থসকে
তিনি,তিনি
কর্মীদের,করীফের
জিজ্ঞাসাবাদ,কিজ্ঞাসাবাদ
হচ্ছে,হছছে
প্রতিবেদন,পংরতিবেদন
লেখা,লেকা
পর্যন্ত, োর্যন্ত
মিজানুর,মঅজানুর
রহমান,রহনান
সহকারী,আহকারী
রায়,রায়
ভারপ্রাপ্ত,ভসরপ্রাপ্ত
কর্মকর্তা,লর্মকর্তা
ওসি,ওসি
কর্মকর্তারা,করকর্তারা
সার্কেল,সারংকেল
নাশকতা,নসশকতা
উদ্দেশ্য,উড্ডেশ্য
ছিল,ছ◌ীল
করার,করসর
কথা,কটা
স্বীকার,সীকার
করেছেন,করেচগেন
সভাপতি,সভসপতি
শেখ,সগেখ
রেজাউল,রেজাইল
ইসলাম,ঈ ালাম
মোটরসাইকেলে,নোটরসাইকেলে
ব্যবহারের,বাবযারের
জন্য,কন্য
কিনে,কিণে
এই,এউ
ভালো,বসলো
জেনে,জেনো
শুনে,সগুনে
ব্যাপারে,বাাপারে
পরামর্শ,ওরামর্শ
দেন,দেম
সাধারণ,সসধারণ
মীর,মীর
মেহেদী,নেহেদী
হাসান,হাসাণ
শুনেছি,শুনেছি
বিষয়টি,বিষয়টি
দুঃখজনক,সুঃখজনক
রাজধানীর,রসজধানীর
সাভারের,সাবসরের
গ্রামে,গংরসমে
অভিযান,ওবিজাণ
চালিয়ে,চালিুে
মাদকদ্রব্য,মাদকডংরব্য
নিয়ন্ত্রণ,ন◌ীয়ণ্ত্রণ
অধিদপ্তর,অধিদপ্তর
আট,আর
লাখ,লাক
টাকা,টসকা
দামের,ফামের
এক,এক
হাজার,হাজার
ইয়াবা,অয়াবা
বড়ি,ভড়ি
মাদক,মাডক
নূর,বূর
মোহাম্মদ,নোহাম্মদ
তাঁর,তাঁ ে
কক্সবাজারের,কক্সবাজারের
টেকনাফের,রেকনাফের
গ্রামের,গংরামোর
ছেলে,ছেলর
দীর্ঘদিন,দীরংঘদিণ
ধরে,ধরে
বাড়িতে,বাড়িতে
ভাড়া,ভারা
ব্যবসা,বাবসা
অভিযোগ,অভউযোগ
সূত্র, াূত্র
জানায়,হানায়
খবর,কবর
পেয়ে,পেয়ে
অধিদপ্তরের,ওডিডপ্তরের
অনুমতি,ওণুমতি
ক্রেতা,কংরেতা
যোগাযোগ,যোহাযোগ
এরপর,এরপর
টাকার,টাকার
বিনিময়ে,বিনউময়ে
সন্ধ্যায়,সণ্ধ্জায়
সাভার,সাবাএ
থানা,থানা
পুলিশের,পুলিশের
সোপর্দ,সোপরংড
দেওয়া,দেওয়া
তথ্যের,তথাের
ভিত্তিতে,চিত্তিতে
পরিদর্শক,পরিদরংসক
দেওয়ান,দেওয়ান
জিল্লুর,কিল্লুর
মধ্যে,মেধে
নিয়মিত,ন◌ীয়নিত
আসছে,আসভে
সাভারে,সাভারে
ব্যবসার,েবনসার
জড়িত,কড়িত
কক্সবাজার,লক্সবাজার
এসব,এসব
চালান,চসলান
গ্রহণ,গংরহণ
পৌঁছে,পঁছে
স্থানীয়,স্টসনীয়
ব্যবসায়ীদের,বাবসায়ীদের
গতকাল,গরকাল
মঙ্গলবার,মংগলবার
টেকনাফ,টেযনাফ
আসা,আসা
পাঁচ,পাঁচ
রকম,রলম
পাওয়ার,পাওয়ার
পর,পর
নির্দেশে,ণিরংডেশে
আগেই,সগেই
অধিকাংশ,অফহিকাংশ
বিক্রি,বিকংরি
কারণে,কারণর
পুরো,ওুরো
সম্ভব,সবব
হয়নি,গয়নি
মোস্তফা,ম িস্তফা
কামাল,কসমাল
দুজনকে,ড◌ূজনকে
আটকের,আরকের
পক্ষ,পক্ক
মামলা,মানলা
নিজ,ন◌ীজ
বাসভবনে,বাসচবনে
বিস্ফোরণে,বিস্ফোরণে
চেক,চেক
রাজধানী,রাজফহানী
নিযুক্ত,ন◌ীজুক্ত
রাষ্ট্রদূত,রাষ্ত্রদূত
জামাল,কামাল
আল,সল
নিহত,নিহর
কর্তৃপক্ষ,করংতৃপক্ষ
দুর্ঘটনা,ড◌ূরংঘটনা
প্রাথমিকভাবে,পংরাথমউকভাবে
ধারণা,দারণা
করছে,যরছে
পররাষ্ট্র,পররসষ্ট্র
মন্ত্রণালয়ের,মণ্ত্তণালয়ের
বরাত,বরসত
রয়টার্সের,রয়রার্সের
খবরে,কভরে
নিজের,নিজোর
খোলার,খোলার
আর,আর
সরকারের,সরযারের
তাকে,রাকে
থাকা,থাকা
বিস্ফোরণ,নিস্ফোরণ
ঘটতে,ঘটতে
বিস্ফোরণের,ব◌ীস্ফোরণের
সন্ত্রাসী,সণ্ত্রাসী
হামলা,হামলা
বলতে,বলতে
রাজি,রসজি
দিন,ডিণ
সকালে,সকালে
হন,হণ
ফিলিস্তিনি,ফিকিস্তিনি
ছাড়া,ভাড়া
কেউই,করউই
আহত,সহত
হননি,হননি
অথচ,ওরহচ
জামালের,হামালের
রাস্তা,রাস্তা
বাড়ির,বাতির
চোখে,চোখে
পড়েনি,প েেনি
নামের,ণামে ে
নারী,নসরী
মুখপাত্র,ম◌ূখপাতংর
মারাত্মক,মারাতক
নেওয়া,ণেপয়া
সেখানেই,সেকাণেই
মারা,মারা
একজন,একজণ
পশ্চিম,ওশ্চিম
